Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Percentage Change,Hash Rate
BTC,2014-01-01,769.0985,768.4078,774.2633,750.5252,0.0009,11740.80209
BTC,2014-01-02,804.0272,769.0985,826.3417,768.1537,0.0454,10294.91152
BTC,2014-01-03,813.3175,804.0272,839.8583,798.1183,0.0116,11493.6341
BTC,2014-01-04,871.1158,813.3175,873.98,808.7167,0.0711,10435.93771
BTC,2014-01-05,970.6508,871.1158,972.0035,861.2583,0.1143,12692.35667
BTC,2014-01-06,962.4645,970.6508,1023.1667,914.7667,-0.0084,12480.81739
BTC,2014-01-07,855.7593,962.4645,970.2252,788.7017,-0.1109,13185.94832
BTC,2014-01-08,860.8417,855.7593,886.0292,822.323,0.0059,13891.07925
BTC,2014-01-09,847.5325,860.8417,880.6417,814.1705,-0.0155,12762.86976
BTC,2014-01-10,892.2612,847.5325,902.035,837.5746,0.0528,14243.64471
BTC,2014-01-11,916.6967,892.2612,940.495,876.5767,0.0274,14596.21017
BTC,2014-01-12,873.2717,916.6967,920.7173,857.7383,-0.0474,13397.4876
BTC,2014-01-13,863.6989,873.2717,873.2717,821.0033,-0.011,18058.64887
BTC,2014-01-14,853.2567,863.6989,871.1139,839.125,-0.0121,13699.66466
BTC,2014-01-15,874.0742,853.2567,888.8852,853.2567,0.0244,15211.96531
BTC,2014-01-16,842.1917,874.0742,879.63,841.2792,-0.0365,17791.77229
BTC,2014-01-17,834.8667,842.1917,854.3283,810.2233,-0.0087,13610.7058
BTC,2014-01-18,838.4292,834.8667,850.5667,834.0833,0.0043,14500.29442
BTC,2014-01-19,881.8758,838.4292,885.1617,834.775,0.0518,16368.43051
BTC,2014-01-20,873.2892,881.8758,882.4517,857.8458,-0.0097,16279.47165
BTC,2014-01-21,874.1327,873.2892,876.1407,861.7783,0.001,15300.92417
BTC,2014-01-22,864.5612,874.1327,874.1327,854.0592,-0.0109,16902.18368
BTC,2014-01-23,838.15,864.5612,866.4596,834.9982,-0.0305,15834.67734
BTC,2014-01-24,834.5742,838.15,838.26,810.6404,-0.0043,21375.12675
BTC,2014-01-25,858.1264,834.5742,876.2417,833.7264,0.0282,16903.79922
BTC,2014-01-26,887.0834,858.1264,899.2283,851.7483,0.0337,17449.08306
BTC,2014-01-27,830.5313,887.0834,887.377,800.0383,-0.0638,17558.13983
BTC,2014-01-28,832.895,830.5313,860.2427,798.1833,0.0028,18103.42368
BTC,2014-01-29,832.874,832.895,846.9259,832.2558,0,17230.96953
BTC,2014-01-30,841.4891,832.874,855.8665,816.0564,0.0103,17449.08306
BTC,2014-01-31,847.3638,841.4891,852.3975,839.5317,0.007,20066.44552
BTC,2014-02-01,854.7225,847.3638,869.4796,843.3534,0.0087,21484.18352
BTC,2014-02-02,856.0337,854.7225,882.4312,850.3082,0.0015,19412.10491
BTC,2014-02-03,847.707,856.0337,856.0337,842.7375,-0.0097,21157.01322
BTC,2014-02-04,844.2884,847.707,852.2615,839.7296,-0.004,18430.59399
BTC,2014-02-05,802.7533,844.2884,846.3511,793.6334,-0.0492,22283.13349
BTC,2014-02-06,748.4356,802.7533,815.7972,738.615,-0.0677,21761.8906
BTC,2014-02-07,692.6691,748.4356,758.3383,658.8333,-0.0745,21501.26916
BTC,2014-02-08,668.8646,692.6691,721.6414,657.8772,-0.0344,22804.37638
BTC,2014-02-09,700.4484,668.8646,711.9711,662.7443,0.0472,19676.91905
BTC,2014-02-10,694.3125,700.4484,702.3682,535.5517,-0.0088,19937.54049
BTC,2014-02-11,665.7975,694.3125,710.6525,635.2325,-0.0411,21761.8906
BTC,2014-02-12,645.615,665.7975,671.9975,633.395,-0.0303,21761.8906
BTC,2014-02-13,578.4125,645.615,653.355,532.3125,-0.1041,23455.92999
BTC,2014-02-14,641.91,578.4125,696.75,553.075,0.1098,24889.34793
BTC,2014-02-15,656.2725,641.91,657.9975,626.805,0.0224,23455.92999
BTC,2014-02-16,611.045,656.2725,657.2725,576.025,-0.0689,25149.96938
BTC,2014-02-17,634.99,611.045,653.75,603.0675,0.0392,25824.93977
BTC,2014-02-18,618.79,634.99,641.3725,607.9425,-0.0255,25980.5117
BTC,2014-02-19,619.8425,618.79,625.4225,612.5025,0.0017,29714.23793
BTC,2014-02-20,545.7625,619.8425,620.84,525.0725,-0.1195,26602.7994
BTC,2014-02-21,561.535,545.7625,581.24,538.1225,0.0289,26136.08362
BTC,2014-02-22,622.22,561.535,622.22,554.3525,0.1081,25513.79592
BTC,2014-02-23,572.7675,622.22,637.5025,567.5,-0.0795,28314.09059
BTC,2014-02-24,501.155,572.7675,583.135,492.8925,-0.125,28314.09059
BTC,2014-02-25,550.6025,501.155,562.545,418.755,0.0987,26447.22748
BTC,2014-02-26,573.1025,550.6025,599.505,548.9875,0.0409,28158.51867
BTC,2014-02-27,567.2925,573.1025,583.7825,558.2225,-0.0101,28314.09059
BTC,2014-02-28,551.73,567.2925,570.7875,535.87,-0.0274,35659.96387
BTC,2014-03-01,560.195,551.73,570.0025,548.7825,0.0153,28072.73751
BTC,2014-03-02,567.7,560.195,568.275,550.7475,0.0134,28262.41817
BTC,2014-03-03,666.1475,567.7,681.615,562.3025,0.1734,26934.65356
BTC,2014-03-04,660.84,666.1475,698.05,653.525,-0.008,26365.61158
BTC,2014-03-05,662.0225,660.84,666.3275,643.525,0.0018,30538.58608
BTC,2014-03-06,651.285,662.0225,663.74,644.345,-0.0162,30728.26674
BTC,2014-03-07,612.33,651.285,653.9825,611.02,-0.0598,31676.67003
BTC,2014-03-08,611.1625,612.33,626.25,600.9925,-0.0019,33194.1153
BTC,2014-03-09,637.615,611.1625,644.8825,610.0675,0.0433,31107.62805
BTC,2014-03-10,626,637.615,642.5275,610.995,-0.0182,31297.30871
BTC,2014-03-11,633.7475,626,645.75,615.2725,0.0124,31866.35069
BTC,2014-03-12,631.755,633.7475,639.5375,627.3925,-0.0031,31866.35069
BTC,2014-03-13,636.4141,631.755,641.67,631.315,0.0074,35706.23191
